SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT05,Frustrated pose 7,1,0,0,0,2,2,4.33717832155526,4.98775195656344,999,999,2.69607843137255,3.25
AMYR21PT05,Parachuting 3,1,0,1,1,3,7,8.20727753918618,16.4145404393785,999,999,5.38613861386139,4.78640776699029
AMYR21PT05,Fire 11,1,0,0,1,2,5,7.00620474806055,16.6814268524759,999,999,1.75490196078431,5.31683168316832
AMYR21PT05,Rollercoaster 2,1,1,1,1,6,3,11.4768211869523,20.0844379304908,999,999,5.37254901960784,5.11881188118812
AMYR21PT05,Camping 1,1,1,1,0,7,6,8.94124538684264,18.766600435134,999,999,5.6039603960396,3.25242718446602
AMYR21PT05,Frustrated pose 2,1,1,0,0,1,1,14.0123937739991,19.2169966697693,999,999,2.63725490196078,3.48514851485149
AMYR21PT05,Destruction 8,1,1,0,1,1,1,6.00531265232712,6.87275255192071,999,999,2.23529411764706,4.22772277227723
AMYR21PT05,Sleepy pose 3,1,0,0,0,2,4,3.6033518309705,10.5428254697472,999,999,3.70588235294118,2.35643564356436
AMYR21PT05,Rock climbing 2,1,0,1,1,2,4,5.20461735222489,11.4601424611174,999,999,4.67647058823529,4.64356435643564
AMYR21PT05,War 1,1,0,0,1,1,1,4.03690790897235,5.92191517399624,999,999,1.75925925925926,5
AMYR21PT05,Child labor 1,1,0,1,0,4,5,13.2116993740201,21.6191422608681,999,999,4.25925925925926,3.27884615384615
AMYR21PT05,School 7,1,1,1,0,5,6,4.90434022154659,11.6436390434392,999,999,5.64705882352941,3.19
AMYR21PT05,Sleepy pose 2,1,1,0,0,5,4,5.05467694392428,10.7263650568202,999,999,3.63725490196078,2.6039603960396
AMYR21PT05,Parachuting 2,1,1,1,1,2,4,11.8104467741214,18.90006465232,999,999,5.43137254901961,4.33663366336634
AMYR21PT05,Ambulance 1,1,1,0,1,2,3,5.90522748697549,19.2336992090568,999,999,2.33333333333333,4.16346153846154
AMYR21PT05,Barbeque 1,1,0,1,0,4,4,4.30380927817896,9.57514430442825,999,999,4.7156862745098,3.07920792079208
AMYR21PT05,Thunderstorm 6,1,0,1,1,4,7,15.8473564954475,23.0870964825153,999,999,4.50925925925926,4.50961538461539
AMYR21PT05,Car accident 1,1,0,0,1,2,1,6.80601830873638,18.7665999610908,999,999,2.14705882352941,4.0990099009901
AMYR21PT05,Toilet 4,1,0,0,0,1,2,3.76999961724505,10.6594310873188,999,999,2.53465346534653,3.15533980582524
AMYR21PT05,Skydiving 4,1,1,1,1,4,2,5.73840679135174,15.7806390654296,999,999,5.3921568627451,4.3960396039604
AMYR21PT05,Dead bodies 1,1,1,0,1,1,1,7.33981847390532,10.8929705955088,999,999,1.1980198019802,4.51456310679612
AMYR21PT05,Camping 7,1,1,1,0,5,5,4.47062332602218,9.60849637398496,999,999,5.2156862745098,2.98019801980198
AMYR21PT05,Depressed pose 2,1,1,0,0,3,3,8.00708636082709,17.2319134739228,999,999,3.48514851485149,3.24271844660194
AMYR21PT05,Gun 8,1,0,0,0,1,1,3.50309409573674,6.08871249994263,999,999,3.07920792079208,3.94174757281553
AMYR21PT05,Beach 8,1,0,1,0,7,7,5.10452123032883,6.75597723061219,999,999,5.85294117647059,3.89108910891089
AMYR21PT05,Shooting 1,1,0,0,1,1,1,2.83584819594398,4.0535790217109,999,999,3.34313725490196,4.42574257425743
AMYR21PT05,Cold 6,1,0,1,1,1,1,2.03513353923336,3.77001371327788,999,999,4.96078431372549,4.28712871287129
AMYR21PT05,Fireman 1,1,1,0,1,5,5,9.00795642193407,12.9447820829228,999,999,3.09803921568627,4.86138613861386
AMYR21PT05,Miserable pose 5,1,1,0,0,3,3,7.27310106949881,10.1756727043539,999,999,2.95098039215686,3.44554455445545
AMYR21PT05,Birthday 2,1,1,1,0,6,7,5.53822479583323,10.8262444389984,999,999,5.32673267326733,3.37864077669903
AMYR21PT05,Rafting 2,1,1,1,1,7,7,9.741947773844,21.7025354695506,999,999,4.82352941176471,4.82178217821782
AMYR21PT05,Sailing 2,1,0,1,1,6,6,7.84027557400987,14.5795805347152,999,999,5.30392156862745,4.56435643564356
AMYR21PT05,School 6,1,0,1,0,6,6,8.64096603449434,15.5637696217746,999,999,5.6078431372549,3.0990099009901
AMYR21PT05,Flood 3,1,0,0,1,3,3,5.90522693935782,13.9790408522822,999,999,2.29411764705882,4.28712871287129
AMYR21PT05,Camping 9,1,0,0,0,1,1,5.53822730435058,9.32491400418803,999,999,3.99019607843137,3.4950495049505
AMYR21PT05,Police 1,1,1,0,1,2,2,11.4768237741664,16.097564174328,999,999,2.58823529411765,4.27722772277228
AMYR21PT05,Destruction 9,1,1,0,0,2,2,5.17123468313366,6.1888028960675,999,999,3.55555555555556,2.48543689320388
AMYR21PT05,Dancing 7,1,1,1,0,7,7,6.57249537389725,15.4470106260851,999,999,5.87037037037037,3.375
AMYR21PT05,Couple 8,1,1,1,1,7,7,5.80512958718464,13.9790370655246,999,999,5.75925925925926,4.16346153846154
AMYR21PT05,Fireworks 2.jpg,0,0,1,1,999,999,999,999,0,6.74830400012434,999,999
AMYR21PT05,Bored pose 3.jpg,0,0,0,0,999,999,999,999,0,1.74517709994689,999,999
AMYR21PT05,School 7.jpg,1,0,1,0,999,999,999,999,1,3.57379750022665,999,999
AMYR21PT05,Thunderstorm 11.jpg,0,0,0,1,999,999,999,999,0,2.63718600012362,999,999
AMYR21PT05,Car race 1.jpg,0,0,1,0,999,999,999,999,1,3.8990854001604,999,999
AMYR21PT05,Dead bodies 2.jpg,0,0,0,1,999,999,999,999,1,5.55892019998282,999,999
AMYR21PT05,Frustrated pose 8.jpg,0,0,0,0,999,999,999,999,1,6.94455569982529,999,999
AMYR21PT05,Rock climbing 3.jpg,0,0,1,1,999,999,999,999,1,3.02642540028319,999,999
AMYR21PT05,Destruction 2.jpg,0,0,0,0,999,999,999,999,0,4.84493940044194,999,999
